order,seasonal_order,trend,aic,bic,llf,ljungbox_p(12),converged,residuals_ok
"(0, 1, 1)","(1, 0, 1, 12)",c,-383.7959789239613,-369.7350571470992,196.89798946198064,0.9999200777470242,True,True
"(0, 1, 1)","(1, 0, 0, 12)",c,-382.6316733684283,-371.31841841921914,195.31583668421416,0.9999999920489799,False,True
"(1, 1, 1)","(1, 0, 1, 12)",c,-382.50968728752605,-365.63658115529154,197.25484364376302,0.9996184026951895,True,True
"(1, 0, 1)","(0, 0, 1, 12)",n,-381.41465252329596,-370.1335262608758,194.70732626164798,0.9999999922825648,True,True
"(0, 1, 1)","(0, 0, 1, 12)",c,-381.19783038176945,-369.94909296027976,194.59891519088472,0.9999999922884577,True,True
"(1, 1, 2)","(0, 0, 1, 12)",c,-381.0701743998778,-364.2460481314783,196.5350871999389,0.2051262272547487,True,True
"(0, 1, 1)","(1, 0, 1, 12)",n,-380.93406510032366,-369.68532767883397,194.46703255016183,0.9999918112259104,True,True
"(2, 1, 1)","(1, 0, 1, 12)",c,-380.50960679166127,-360.8243163040544,197.25480339583063,0.9996215581079364,True,True
"(1, 1, 1)","(1, 0, 0, 12)",c,-380.4738398020668,-366.3724319740416,195.2369199010334,0.9999999320234616,True,True
"(1, 1, 2)","(1, 0, 0, 12)",c,-380.37540490655397,-363.45371551292374,196.18770245327698,0.09107845561719274,True,True
"(0, 1, 2)","(1, 0, 0, 12)",c,-380.25484447268934,-366.11327578617784,195.12742223634467,0.9999999900693486,True,True
"(0, 1, 1)","(0, 0, 1, 12)",n,-380.1926865069756,-371.7561334408583,193.0963432534878,0.9999999926709202,True,True
"(1, 1, 1)","(1, 0, 1, 12)",n,-380.0759187492181,-366.014996972356,195.03795937460904,0.9998057819870477,True,True
"(1, 1, 1)","(0, 0, 1, 12)",c,-379.55799647499384,-365.49707469813177,194.77899823749692,0.999999648071576,True,True
"(2, 0, 1)","(0, 0, 1, 12)",n,-379.46681271180853,-365.36540488378336,194.73340635590426,0.9365549465356464,True,True
